iter	Passed	Remaining
0	143	143540
1	145	72451
2	146	48602
3	147	36620
4	147	29428
5	148	24637
6	149	21208
7	150	18636
8	151	16632
9	151	15031
10	152	13736
11	153	12657
12	155	11772
13	155	10983
14	157	10371
15	160	9883
16	162	9371
17	163	8892
18	163	8462
19	164	8074
20	165	7727
21	166	7405
22	167	7115
23	168	6853
24	169	6617
25	172	6457
26	173	6262
27	175	6076
28	175	5892
29	176	5722
30	178	5581
31	179	5426
32	180	5281
33	180	5141
34	184	5088
35	186	5002
36	187	4888
37	188	4777
38	190	4688
39	191	4585
40	191	4486
41	192	4395
42	193	4306
43	194	4231
44	199	4229
45	200	4155
46	201	4081
47	202	4011
48	203	3943
49	204	3884
50	205	3821
51	206	3759
52	206	3698
53	207	3639
54	211	3628
55	212	3584
56	213	3536
57	214	3487
58	215	3438
59	216	3392
60	217	3346
61	218	3300
62	218	3256
63	219	3212
64	220	3171
65	222	3144
66	224	3123
67	224	3081
68	225	3044
69	226	3008
70	227	2972
71	228	2939
72	229	2910
73	230	2880
74	231	2851
75	232	2821
76	233	2793
77	233	2765
78	236	2760
79	238	2741
80	239	2716
81	240	2690
82	241	2664
83	242	2639
84	243	2619
85	244	2597
86	245	2572
87	245	2547
88	246	2524
89	247	2502
90	250	2506
91	252	2488
92	253	2468
93	254	2448
94	254	2427
95	255	2410
96	257	2400
97	258	2381
98	259	2363
99	260	2345
100	261	2327
101	265	2334
102	266	2319
103	267	2303
104	268	2287
105	269	2273
106	270	2257
107	271	2241
108	272	2225
109	273	2209
110	274	2196
111	275	2181
112	278	2186
113	279	2173
114	280	2159
115	281	2145
116	282	2132
117	283	2118
118	284	2106
119	285	2092
120	286	2078
121	286	2064
122	287	2050
123	289	2041
124	293	2051
125	294	2040
126	295	2028
127	295	2013
128	296	2003
129	297	1993
130	298	1982
131	299	1970
132	300	1959
133	301	1948
134	302	1937
135	306	1947
136	308	1940
137	308	1929
138	309	1918
139	310	1908
140	311	1897
141	312	1886
142	313	1876
143	314	1866
144	314	1856
145	315	1845
146	316	1835
147	317	1825
148	321	1834
149	322	1826
150	323	1818
151	324	1809
152	325	1801
153	326	1791
154	327	1784
155	328	1777
156	329	1769
157	331	1765
158	334	1770
159	336	1764
160	337	1757
161	338	1749
162	339	1741
163	339	1732
164	340	1725
165	341	1717
166	342	1710
167	343	1702
