iter	Passed	Remaining
0	149	149334
1	152	76172
2	156	51899
3	159	39753
4	162	32435
5	166	27524
6	169	23981
7	172	21364
8	174	19230
9	176	17495
10	178	16057
11	180	14844
12	181	13817
13	183	12927
14	185	12159
15	186	11478
16	187	10865
17	189	10319
18	190	9828
19	191	9378
20	192	8971
21	193	8600
22	194	8262
23	195	7952
24	196	7664
25	197	7398
26	198	7149
27	199	6921
28	200	6723
29	201	6527
30	202	6340
31	203	6159
32	204	5989
33	205	5830
34	205	5679
35	206	5537
36	207	5402
37	208	5274
38	209	5153
39	209	5038
40	210	4929
41	211	4827
42	212	4728
43	213	4633
44	214	4545
45	215	4466
46	216	4387
47	217	4307
48	217	4229
49	218	4155
50	219	4083
51	220	4015
52	221	3949
53	221	3885
54	222	3825
55	223	3766
56	224	3710
57	225	3656
58	226	3612
59	227	3561
60	228	3511
61	228	3463
62	230	3423
63	231	3381
64	232	3337
65	232	3294
66	233	3251
67	234	3211
68	235	3172
69	235	3134
70	236	3097
71	237	3061
72	238	3027
73	239	2993
74	239	2959
75	240	2927
76	241	2895
77	242	2864
78	243	2834
79	243	2804
80	245	2780
81	246	2754
82	246	2723
83	247	2696
84	248	2670
85	248	2645
86	249	2619
87	250	2595
88	251	2572
89	252	2549
90	252	2526
91	253	2504
92	254	2482
93	255	2461
94	256	2440
95	256	2420
96	257	2399
97	258	2379
98	259	2360
99	260	2343
100	261	2325
101	262	2308
102	263	2291
103	263	2274
104	264	2257
105	265	2242
106	266	2225
107	267	2208
108	268	2192
109	268	2176
110	269	2160
111	270	2144
112	271	2129
113	272	2114
114	272	2099
115	273	2085
116	274	2071
117	275	2059
118	276	2047
119	277	2034
120	278	2021
121	278	2006
122	279	1993
123	280	1981
124	281	1968
125	281	1956
126	282	1943
127	283	1930
128	284	1918
129	285	1907
130	285	1896
131	286	1885
132	287	1874
133	288	1863
134	289	1853
135	290	1844
136	291	1834
137	292	1824
138	292	1813
139	293	1803
140	294	1793
141	294	1781
142	295	1771
143	296	1762
144	297	1752
145	297	1743
146	298	1733
147	299	1724
148	300	1716
149	301	1708
150	302	1699
151	303	1691
152	303	1682
153	305	1675
154	306	1668
155	306	1660
156	307	1651
157	308	1643
158	309	1635
159	309	1627
160	310	1618
161	311	1610
162	312	1603
163	313	1596
164	313	1588
165	314	1581
166	315	1574
167	316	1567
168	317	1559
169	318	1552
170	318	1545
171	319	1540
172	321	1534
173	321	1527
174	322	1520
175	323	1514
176	324	1507
177	325	1501
178	325	1494
179	326	1488
180	327	1482
181	328	1475
